,,ENN,LSSm,ENANE
0.05,f1-score,2.111111111111111,1.7777777777777777,2.111111111111111
0.1,f1-score,1.8333333333333333,2.2777777777777777,1.8888888888888888
0.15,f1-score,2.1666666666666665,2.0,1.8333333333333333
0.05,mean squared error,2.0833333333333335,1.6944444444444444,2.2222222222222223
0.1,mean squared error,1.75,2.5,1.75
0.15,mean squared error,2.0833333333333335,1.75,2.1666666666666665
0.05,accuracy score,2.0833333333333335,1.8055555555555556,2.111111111111111
0.1,accuracy score,1.8611111111111112,2.2777777777777777,1.8611111111111112
0.15,accuracy score,2.25,1.9722222222222223,1.7777777777777777
