,,ENN,LSSm,ENANE
0.05,f1-score,1.8333333333333333,1.6388888888888888,2.5277777777777777
0.1,f1-score,1.8888888888888888,1.8333333333333333,2.2777777777777777
0.15,f1-score,1.9444444444444444,2.111111111111111,1.9444444444444444
0.05,mean squared error,2.2222222222222223,1.5833333333333333,2.1944444444444446
0.1,mean squared error,2.111111111111111,2.111111111111111,1.7777777777777777
0.15,mean squared error,1.9444444444444444,2.0555555555555554,2.0
0.05,accuracy score,2.138888888888889,1.75,2.111111111111111
0.1,accuracy score,1.8888888888888888,2.0,2.111111111111111
0.15,accuracy score,2.0,2.0,2.0
